title,year,rating,description,genres
Awkward Gawker,2025,10.0,"After accidentally going viral, our apologetic hero encounters unhinged adversaries and unhelpful childhood heroes on her quest to keep her job.",
Lost The Plot,2025,10.0,"Yung T, an aspiring actor decides to star in an advert to get some attention, only to discover he hasn't made a single dime of it but is noticed by one producer, this all leads him to go down the path of the criminal underworld.",
IShowSpeed: Early Stream! (My mom's kinda homeless),2021,10.0,"Famous Streamer IShowSpeed has an unexpectedly significant live stream where he mainly plays Fortnite. In a wild Fortnite stream, IShowSpeed cracks up over a kid's plea: ""My mom is kinda homeless"". This stream is often hailed as one of Speed's most influential early works. Runtime: 4 hours 23 minutes Viewer verdict: A 10/10 cult classic for the ages.",
H4pPy 6iR7hd4y D3n M4rK,2025,10.0,Ang munting short film.,
Real Criminals,2022,10.0,"A struggling scam artist plans the robbery of a local bake shop. So with the help of his friends, a robbery is planned and (sort of) executed. Life will never be the same for this group of misfits just trying to make their dreams come true.",
THE SUPER GUIDE DEFINITELY EPIC FRAGRANT AND BIUTIFUL OF RPG,2025,10.0,"In this work from IES 025, a group of RPG players from a mystical and distant land, as usual, schedule another regular game. However... everything changes when they receive a visit from a new (and very well-known) player...",
Yesno,2009,10.0,,
Dead Race,2025,10.0,"Famous un-dead monsters face off, in a race to the death, against the Grim Reaper!",
The Debate,2024,10.0,"Rising tensions in America. Nick Casal and Kevin Alcazar are set to face off in their first debate of the 2024 election, moderated by Eric Shun. Both candidates will address the issues in the country such as the ongoing wars, inflation, and more.",
Caméra Spectrale,2025,10.0,,
Alfa & Bravo,2025,10.0,,
The Dented Zone,2025,10.0,"A parody short film that explores the delusional world of an internet streamer who believes he’s more important than he really is. Blending surreal visuals and exaggerated dialogue, the film satirizes online fame, gamer culture, and the isolation that comes with living life entirely on the internet. Inspired by real-life streamer DarkSydePhil, it offers a darkly comedic look at ego, denial, and digital downfall.",
The Royal Reveal,,10.0,Rose interrogates strangers about their inner princess...,
Inner Reckoning,2024,10.0,A highschooler has to fight off his inner demons while attempting to finish a short film for an application.,
El día que murió la música,2025,10.0,,
Poemes Visuals,1990,10.0,The recorded set of acts performed by Jordi Bertran,
Cheap Thrill,2020,10.0,"Upon making a thrifty purchase online, our frugal shopper is in for more than he bargained for.",
Amor,2025,10.0,"A methodical man, devoted to his career as a computer engineer and to an apparently perfect marriage with Patrícia. But on his wedding anniversary, the unexpected discovery of a stranger in his home triggers a chain of revelations that call into question everything he believes in. In a game of manipulation and hidden motives, love proves to be far more complex and destructive than he was ever taught to believe.",
The Fruitless Endeavour,2025,10.0,"Two fruit bandits run a scam: one steals fruit from backyards, the other sells it back to the owners. However the morality of their actions catches up with them.",
Succession,,10.0,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",
Habis Gelap Terbitlah Terang,,10.0,,
Nicky Nicky Nine-Door,2007,10.0,Deleted scene from Nirvanna the Band the Show. Nicky Nicky Nine Doors up and down the Scarborough Bluffs.,
(HEAD!) Over Heels,2025,10.0,"A witch is late for the date she is hosting at her messy, magic-filled apartment. To make matters worse, her ""normal"" date arrives in the middle of her cleaning. The witch must quell the growing magical chaos in her kitchen while also maintaining her magical secrecy from her date!",
The Shoe,,10.0,"After a walk in the woods, Ralph returns home to find his shoe is possessed, and ready to kill him.",
LUCKYBOY,2021,10.0,A sock puppet tries to find his moment in the limelight as a musician in Boston.,
The Veiled,2025,10.0,War. Bloodshed. Betrayal. The Father's territory will be claimed at any cost.,
"""The Bit""",2025,10.0,"Entertainment mogul Hugh Lou joins a high-stakes meeting with President Brown and Tax Audit, where buried secrets and hidden agendas come to light. As tensions rise, they navigate a web of power, deception, and unexpected revelations, all while trying to stay one step ahead of an unseen force that threatens to upend everything.",
You Gotta Have Faith,2025,10.0,"Faith, love, and irony collide when a priest's sacred duty is to marry the only woman he ever loved - to someone else.",
A True Act of Comedy,2024,10.0,"In a society desensitized to extreme horror and violence, a young aspiring writer, Robin, grapples with the changing times and his mentally unstable best friend, Reggie, who will do whatever it takes to reach the top.",
The Will,2025,10.0,"Testament is a humorous and emotional story set in a Bosnian village and the industrial city of Zenica in the early 1990s. It portrays, in a uniquely local way, the importance of a will and the consequences of its absence within Bosnian culture. Through the lives of ordinary people, the film weaves together a series of small conflicts and misunderstandings over inheritance, tradition, and human relationships, where old customs collide with a reality full of human flaws: gambling, gossip, love, and petty theft.  The main character, Asad, after losing his father’s inheritance, must navigate the world of industrial Zenica, local taverns, and everyday rural troubles, aided by his best friend Dževad, a charming man constantly facing his own challenges while seeking shortcuts to every solution.",
Kundi,2025,10.0,Jakob was a pundi and had a kundi.,
Erntezone - Harvesting Zone,2025,10.0,"The harvesting zone has been flooded. This shouldn't be a problem, if it wasn't up to young trainee Tiran to check the zone. Sadly he overslept again and his time is running up before the delivery spaceship appears.",
Nicolaj Lange - Halvvejs,2025,10.0,,
Batman and the Oscar Night Interrogation,2025,10.0,"In this Batman movie, shot only within 3 hours, without a script and edited in only a week....  Batman and his (so called) pal, Commissioner James Gordan, interrogate the Joker for his craziest crime yet... peeing on a bus. But what starts as an absurd accusation soon escalates into a conspiracy more twisted than they could have ever predicted.",
Sore,2025,10.0,A disgruntled opera performer wakes up to a sore throat. He must do everything he can to get rid of this sore throat before his performance that evening. Will the night end in disaster? Or will our performer give the performance of a lifetime?  The first film school student short film by Peter Challis.,
Vampire Elvis,2025,10.0,"Las Vegas, 1972. In a decade drenched in blood, confusion, and paranoia, a new serial killer lurks beneath the neon shadows, ripping bodies apart. And what was once America’s glittering playground has now become a neon-lit graveyard, paralyzed with horror. But this isn’t your average homicidal psychopath. This one walks, talks, and sings like an angel... but behind his mask lies an unholy hunger that is nowhere near being fulfilled.  VAMPIRE ELVIS is a vile, carnal, grim, and seductive grindhouse relic, coming from the darkest corner of hypnagogic nightmares. A bizarre love letter to cult cinema, where rock 'n' roll rots, icons collapse, and desire outweighs reason.  You’ve never seen a vampire film like this. And you sure as hell ain’t seen HIM like this.  So turn the lights low. Lock the door. And whatever you do... don’t let HIM in!",
Catstody,2025,10.0,"Two roommates, Kitty and Cat, are moving out of their apartment and need to decide who gets custody of their beloved cat, Robert.",
Cendres,2025,10.0,,
"The Good, the Bad, and the Bloodthirsty",2023,10.0,An old-fashioned western town is thrown for a loop when a mysterious bounty hunter comes to town right as the townsfolk suspect a vampire is in their midst...,
Título Provisório,,10.0,,
How I Met Your Masi,2025,10.0,"The epic tale of an extraordinary South Asian sisterhood. This sort of two-person, sort of auto-biographical show loosely parodies its namesake sitcom, as Arasha & Lily journey through a series of flashbacks to reveal the unexpected story of how their friendship turned from icy to spicy.",
Sombréro,1986,10.0,"Sombrero is a 1986 crime comedy by Algerian director Rabah Bouberras, produced by ENTV. A gang smuggles precious diamonds hidden in a Mexican sombrero through customs, but the hat is stolen and passed from head to head, from one person to another, throughout the Algerian capital. Everyone sets out to find it...",
Türk İşi Korku Filmi,2015,10.0,,
Can't Kill A Cowboy,2025,10.0,"Can’t Kill A Cowboy documents the story of Billy the Kid, an American outlaw and gunfighter who was killed by Sheriff Pat Garrett in 1881. Having been reincarnated in present-day Ohio, Billy must navigate a modern world where he feels he does not belong. With his skeptical best friend Brandon by his side, he sets out to forge a new legacy by bringing his Wild West antics to his sleepy Midwest town.",
Le Temps d'une Tartine,2025,10.0,,
Bachelors Handbag,2025,10.0,"During a laid-back Aussie barbecue, Damien returns to find the roast chicken missing. As suspicion spreads among his mates, accusations fly and chaos erupts in this comedic suburban whodunit.",
The Shape,2025,10.0,A short horror comedy thriller about a mysterious shape terrorizing two college roommates.,
Date a Woman,2025,10.0,"Date A Woman is the ONLY SHOW where one lucky man gets to, welp, date a woman. If only it were that simple.  In the latest episode, eligible bachelorette Brooke is forced to choose between three extremely normal and polite bachelors. Will she choose Jonathan the entrepreneur, Jackson the podcaster, or Jason the fitness influencer?",
Brains,2025,10.0,"As far as substitute teachers go, Norman Elle is a first. Being a zombie has its share of obstacles, and between managing classroom experiments and hiding his secret, surviving a regular school day proves to be much more difficult than he expected.",
El Show de Cejas Pobladas,2017,10.0,,
"Almost Funny, Season 2",2025,10.0,"A variety show created entirely within VRChat, but made for everyone, even your aunt. With Season 2, Gab Jankums, the co-host, now heads the show up? With the main host missing, anything could happen! Experience an anthology of comedy that will go places you'd never expect!",
Connection At The End Of The World,2025,10.0,"Jay and Sam are a perfect match. They meet for some food and drinks at the local bar when news breaks of a possible apocalyptic-level event. Nuclear annihilation is nigh, but this wouldn't be the first time the world was coaxed into panic by false pretenses. Jay and Sam wonder whether it is another false alarm or approaching oblivion.",
WORMS,2025,10.0,"A directionless young man enrols in an alpha-male bootcamp, where raw meat, brutal workouts and injectable supplements promise to forge warriors – but as his mind and body begin to rapidly deteriorate, he soon finds himself locked into mortal combat with the worm ravaging his brain.",
Noches de Terror con Muerte al Buen Cine vol.1,2023,10.0,"This story begins a rainy night in the city Nezahualcóyotl, as good horror stories start, with thunder, an authoritarian state, the horoscope and other things, but this particular story starts with a vampire...",
Clover,2025,10.0,,
Déjà Vu: The Conundrum of Cassie,2025,10.0,Cassie Cole's life is a dark comedy on steroids. Her parrot is kidnapped by the Russian Mob. Her wheelchair stalker has turned serial killer. She discovers her dead singing teacher's mysterious clicking box and sleeps in bed with it. This Dolly Parton wannabe is surrounded by unsolved murders. Detective O'Shea doesn't believe a word Cassie says and her shrink is dumbfounded. Cassie must resolve her conundrum or become the next victim.,
Karakondzula 2,2020,10.0,"He is back, but this time he is making no mistakes.",
PEDDLERS,2025,10.0,Two small-time dealers are hunted after they begin selling a product that belongs to a rival gang.,
Além das Aparências,2025,10.0,"Muniz falls in love with Felipe, whose love is reciprocated, but Muniz doesn’t have the courage to leave his wife and prefers to keep up appearances. It remains to be seen how long this charade will last.",
Cool Cat vs Dirty Dog 'The Virus Wars',2023,10.0,"Cool Cat loves to protect kids, but Dirty Dog hates children. Mad because Coronavirus is fading away, Dirty Dog makes his own virus to infect the kids – the Dirty Dog Virus! But the virus becomes a national threat, and Cool Cat must stop it to save the kids! Can Cool Cat stop Dirty Dog and save your life?",
La Nuggets De Trop,2025,10.0,,
The King of Forks,2025,10.0,"A humanitarian is tasked with transporting a box of unknown contents. When his vehicle becomes immobilized in the heart of a relentless desert, he continues on foot, accompanied by a mysterious companion he meets along the way.",
Les patates sont cuites !,2025,10.0,,
Between Us,2025,10.0,"A couple, after ending their relationship on rocky terms, come to realize neither of them have anywhere to go and must continue to live together in a cramped apartment while trying to move on.",
B:ARE!,2024,10.0,"Melek (12) is a 5th grade elementary school student who was the subject of a joke from his teacher, Mr. Koqhar (40). This made her feel ostracized in front of the class. Therefore, she sought out the answer and revealed the secret of her name to her father at home. But when she brought the answer back to class, Melek realized that it wasn't the answer that mattered, but the courage to speak up in front of her",
Diary of a Wimpy Kid: Freshman Year,2022,10.0,"When Jeff Kinney, author of Diary of a Wimpy Kid, gets fed up with writing the same book over and over again for 20 years, he finally decides to stop holding back and give Greg the craziest adventure of his life.",
VI UNOS MARCIANOS COMIENDO EN MI COCINA,2025,10.0,,
Bananacide,2025,10.0,A PSA on why bananas are a danger to our society,
Meet The Metahumans,2025,10.0,"Two ego-driven artificial intelligence maniacs Cosmo and Max, who are driven and designed to take over humanity, battle it out in a 1980’s Cyberpunk retro-video game world called ‘Game Over’, where the locations resembles a very real world. Can our Heroes, two Human game characters who are controlled by Cosmo and Max, escape this meta-reality and the clutches of the Metahumans ?  A short film about Grief. The loss of family and friends during the Pandemic.",
