tmdb_id,title,release_date,year,original_language,runtime,genres,budget,revenue,popularity,vote_average,vote_count,director,top_actors,overview,success_label,success_reason
927254,The Twits,2025-10-17,2025,en,99,"Animation, Comedy, Family, Fantasy",0,0,146.668,6.608,37,Phil Johnston,"Margo Martindale, Johnny Vegas, Maitreyi Ramakrishnan","When the meanest, nastiest villains pull a trick to take over their town, two brave children team up with a family of magical animals to bring them down.",Average/Positive,Decent user score (no financials)
338969,The Toxic Avenger Unrated,2025-08-28,2025,en,102,"Action, Comedy, Science Fiction",0,3328938,140.888,6.345,145,Macon Blair,"Peter Dinklage, Jacob Tremblay, Taylour Paige","When a downtrodden janitor, Winston Gooze, is exposed to a catastrophic toxic accident, he’s transformed into a new kind of hero: The Toxic Avenger. Now, Toxie must rise from outcast to savior, taking on ruthless corporate overlords and corrupt forces who threaten his son, his friends, and his community.",Average/Positive,Decent user score (no financials)
1327769,27 Nights,2025-09-19,2025,es,108,Comedy,0,0,126.7053,6.6,7,Daniel Hendler,"Marilú Marini, Daniel Hendler, Humberto Tortonese","When a woman is admitted by her daughters to a psychiatric clinic for her carefree ways, an expert must judge if she is ill or simply wants to enjoy life.",Average/Positive,Decent user score (no financials)
803796,KPop Demon Hunters,2025-06-20,2025,en,96,"Fantasy, Music, Comedy, Animation",100000000,19200000,135.6947,8.248,1728,Chris Appelhans,"Arden Cho, May Hong, Ji-young Yoo","When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",Moderate,At least broke even or decent ratings
1267905,The Roses,2025-08-27,2025,en,105,"Comedy, Drama, Romance",30600000,49589664,97.3762,7.031,229,Jay Roach,"Olivia Colman, Benedict Cumberbatch, Kate McKinnon","Life seems easy for picture-perfect couple Ivy and Theo: successful careers, a loving marriage, great kids. But beneath the façade of their supposed ideal life, a storm is brewing – as Theo's career nosedives while Ivy's own ambitions take off, a tinderbox of fierce competition and hidden resentment ignites.",Moderate,At least broke even or decent ratings
1277988,Caramelo,2025-10-08,2025,pt,101,"Comedy, Drama",0,0,71.6315,7.775,120,Diego Freitas,"Rafael Vitti, Amendoim, Arianne Botelho","After a life-changing diagnosis, a promising chef finds hope and humor with the help of a fur-midable dog friend.",Average/Positive,Decent user score (no financials)
1107216,Pets on a Train,2025-07-02,2025,fr,87,"Animation, Comedy, Adventure, Thriller",0,3082436,85.0504,7.4,5,Benoît Daffis,"Damien Ferrette, Hervé Jolly, Kaycie Chase","When a train unexpectedly starts up, taking only pets with it, the animals discover that Hans, a badger with a grudge is behind it all. While the crash seems inevitable, the animals can count on Falcon, a roguish Raccoon who will do anything to save them.",Average/Positive,Decent user score (no financials)
1280282,Gabby's Dollhouse: The Movie,2025-09-13,2025,en,98,"Family, Comedy, Adventure, Animation",32000000,45973395,63.5286,6.966,29,Ryan Crego,"Laila Lockhart Kraner, Gloria Estefan, Kristen Wiig","Gabby heads out on a road trip with her Grandma Gigi to the urban wonderland of Cat Francisco. But when Gabby's dollhouse, her most prized possession, ends up in the hands of an eccentric cat lady named Vera, Gabby sets off on an adventure through the real world to get the Gabby Cats back together and save the dollhouse before it's too late.",Moderate,At least broke even or decent ratings
1296404,Good News,2025-09-05,2025,ko,136,"Thriller, Comedy, History",0,0,56.2498,6.868,20,Byun Sung-hyun,"Sul Kyung-gu, Hong Kyung, Ryoo Seung-bum","When hijackers seize a Japanese flight and demand to fly to Pyongyang, a mysterious mastermind hatches a zany scheme to reroute the plane to Seoul.",Average/Positive,Decent user score (no financials)
1175942,The Bad Guys 2,2025-07-24,2025,en,103,"Family, Comedy, Crime, Adventure, Animation",80000000,224738330,53.832,7.77,483,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina","The now-reformed Bad Guys are trying (very, very hard) to be good, but instead find themselves hijacked into a high-stakes, globe-trotting heist, masterminded by a new team of criminals they never saw coming: The Bad Girls.",Moderate,At least broke even or decent ratings
552524,Lilo & Stitch,2025-05-17,2025,en,108,"Family, Science Fiction, Comedy, Adventure",100000000,1037247842,53.1004,7.25,1772,Dean Fleischer Camp,"Maia Kealoha, Sydney Agudong, Chris Sanders",The wildly funny and touching story of a lonely Hawaiian girl and the fugitive alien who helps to mend her broken family.,Hit,Revenue >= 1.2x budget and decent ratings
1403735,Laila,2025-02-14,2025,te,134,"Comedy, Romance",0,0,52.1693,5.167,6,Ram Narayan,"Vishwak Sen, Akanksha Sharma, Babloo Prithiveeraj","Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",Unknown,Insufficient financial data
1284120,The Ugly Stepsister,2025-03-07,2025,no,109,"Horror, Comedy, Fantasy, Drama",4250000,4601915,42.2908,7.236,508,Emilie Blichfeldt,"Lea Myren, Ane Dahl Torp, Thea Sofie Loch Næss","In a fairy-tale kingdom where beauty is a brutal business, Elvira battles to compete with her incredibly beautiful stepsister, and she will go to any length to catch the prince’s eye.",Moderate,At least broke even or decent ratings
1352755,Maintenance Required,2025-10-07,2025,en,100,"Romance, Comedy",0,0,39.005,5.609,87,Lacey Uhlemeyer,"Madelaine Petsch, Jacob Scipio, Katy O'Brian","Charlie, the fiercely independent owner of an all-female mechanic shop, is forced to reevaluate her future when a flashy corporate competitor moves in across the street. Seeking comfort, she turns to an anonymous online confidant - unaware she's confiding in Beau, the very rival threatening her business. As sparks fly both online and off, the truth threatens to blow everything apart.",Unknown,Insufficient financial data
947512,Living Large,2024-10-17,2024,cs,80,"Animation, Family, Comedy",0,130570,37.1824,6.1,7,Kristina Dufková,"Hugo Kovács, Tatiana Dyková, David Novotný","A 12-year-old boy faces bullying due to his weight and decides to take charge of his life by adopting a healthier lifestyle and trying to win the heart of the girl he admires. Through his journey, he learns the importance of positivity and standing against body shaming, discovering that true confidence comes from embracing who you are.",Average/Positive,Decent user score (no financials)
1022787,Elio,2025-06-18,2025,en,98,"Family, Comedy, Adventure, Animation, Science Fiction",150000000,153797125,40.5361,6.978,604,Domee Shi,"Yonas Kibreab, Remy Edgerly, Zoe Saldaña","Elio, a space fanatic with an active imagination, finds himself on a cosmic misadventure where he must form new bonds with eccentric alien lifeforms, navigate a crisis of intergalactic proportions and somehow discover who he is truly meant to be.",Moderate,At least broke even or decent ratings
1035259,The Naked Gun,2025-07-30,2025,en,85,"Comedy, Action, Crime",42000000,101847396,42.2343,6.6,959,Akiva Schaffer,"Liam Neeson, Pamela Anderson, Paul Walter Hauser",Only one man has the particular set of skills... to lead Police Squad and save the world: Lt. Frank Drebin Jr.,Hit,Revenue >= 1.2x budget and decent ratings
1241982,Moana 2,2024-11-21,2024,en,100,"Family, Comedy, Adventure, Animation, Fantasy",150000000,1059242164,38.8199,7.032,2753,David G. Derrick Jr.,"Auliʻi Cravalho, Dwayne Johnson, Hualālai Chung","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",Blockbuster,"Revenue >= 2x budget (1059242164 >= 300000000), strong user ratings"
533535,Deadpool & Wolverine,2024-07-24,2024,en,128,"Action, Comedy, Science Fiction",200000000,1338073645,35.1131,7.574,7850,Shawn Levy,"Ryan Reynolds, Hugh Jackman, Emma Corrin","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.",Blockbuster,"Revenue >= 2x budget (1338073645 >= 400000000), strong user ratings"
1022789,Inside Out 2,2024-06-11,2024,en,97,"Animation, Adventure, Comedy, Family",200000000,1698863816,32.9051,7.553,6194,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",Blockbuster,"Revenue >= 2x budget (1698863816 >= 400000000), strong user ratings"
950387,A Minecraft Movie,2025-03-31,2025,en,101,"Family, Fantasy, Comedy, Adventure, Action",150000000,0,32.1337,6.36,2444,Jared Hess,"Jason Momoa, Jack Black, Sebastian Eugene Hansen","Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",Average/Positive,Decent user score (no financials)
1125257,Freakier Friday,2025-08-06,2025,en,111,"Comedy, Fantasy, Family",42000000,152889065,27.7233,7.014,323,Nisha Ganatra,"Lindsay Lohan, Jamie Lee Curtis, Julia Butters","Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",Moderate,At least broke even or decent ratings
