title,release_date,year,original_language,runtime,genres,budget,revenue,vote_average,director,top_actors,overview,pg_rating,original_title,movie_keywords
Wicked,11/22/2024 (US),(2024),English,2h 42m,"Drama, Romance, Fantasy","$150,000,000.00","$756,443,397.00",69,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Michelle Yeoh","In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",PG,No original title,"dancing, witch, based on novel or book, college, musical, wish, female friendship, celebrity, bullying, prequel, based on play or musical, singer, singing, corrupt politician, death in childbirth, fantasy world, wizard, gravity, discrimination, ostracism, woman in wheelchair, musical comedy, sister sister relationship, belonging, cautionary, fantasy, stereoscopic film, romantic fantasy"
Venom: The Last Dance,10/24/2024 (LB),(2024),English,1h 49m,"Action, Science Fiction, Adventure","$120,000,000.00","$478,937,618.00",67,Kelly Marcel,"Tom Hardy, Chiwetel Ejiofor, Juno Temple","Eddie and Venom are on the run. Hunted by both of their worlds and with the net closing in, the duo are forced into a devastating decision that will bring the curtains down on Venom and Eddie's last dance.",PG-13,No original title,"hero, anti hero, villain, alien life-form, sequel, superhero, based on comic, aftercreditsstinger, woman director, sony's spider-man universe"
Winter Boy,11/30/2022 (FR),(2022),French,2h 3m,Drama,Original Language French,"Budget $4,600,000.00",67,Christophe Honoré,"Paul Kircher, Vincent Lacoste, Juliette Binoche","Lucas is a 17-year-old gay teenager coping with the sudden and unexpected death of his father in an accident that may or may not have been suicide. He views his life as a wild animal in need of taming. Between a brother settled in Paris and a mother with whom he now lives alone, Lucas will have to fight to rediscover hope and love.",TP,Original Title Le lycéen,"coming of age, lgbt, lgbt teen, death of parent, boyhood, gay youth, sexual discovery, gay theme"
Eenie Meanie,08/22/2025 (US),(2025),English,1h 46m,"Thriller, Action, Comedy","$50,000,000.00",-,63,Shawn Simmons,"Samara Weaving, Karl Glusman, Andy García",A former teenage getaway driver gets dragged back into her unsavory past when a former employer offers her a chance to save the life of her chronically unreliable ex-boyfriend.,R,No original title,disgusted
Kaiju No. 8: Mission Recon,03/28/2025 (JP),(2025),Japanese,1h 50m,"Animation, Action, Science Fiction",Original Language Japanese,Budget -,79,Tomomi Kamiya,"Masaya Fukunishi, Wataru Katoh, Fairouz Ai","In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.",G,Original Title アニメ『怪獣８号』第１期総集編／同時上映「保科の休日」,"giant monster, compilation, based on manga, kaiju, edited from tv series, shounen, anime"
Bitter Souls,10/23/2024 (US),(2024),English,1h 27m,Horror,-,-,30,Tom Ryan,"Avaryana Rose, Michael Ashley McKeever, Destiny Leilani Brown","After a tragic accident, a teenage girl is resurrected with the use of black magic. She uses her new-found powers to exact vengeance on her tormentors.",Not Rated,No original title,voodoo
Freakier Friday,08/08/2025 (US),(2025),English,1h 51m,"Comedy, Fantasy, Family","$42,000,000.00","$152,889,065.00",70,Jordan Weiss,"Lindsay Lohan, Jamie Lee Curtis, Julia Butters","Years after Tess and Anna endured an identity crisis, Anna now has a daughter of her own and a soon-to-be stepdaughter. As they navigate the myriad challenges that come when two families merge, Tess and Anna discover lightning might indeed strike twice.",PG,No original title,"based on novel or book, body exchange, sequel, body-swap, mother daughter relationship, amused"
The Wild Robot,09/27/2024 (US),(2024),English,1h 42m,"Animation, Science Fiction, Family, Drama","$78,000,000.00","$331,982,078.00",83,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",PG,No original title,"villain, robot, based on children's book, female villain, aftercreditsstinger, duringcreditsstinger, kids, adopted son, traditional parenting"
Fifty Shades of Grey,02/13/2015 (US),(2015),English,2h 5m,"Drama, Romance, Thriller","$40,000,000.00","$569,651,467.00",59,Sam Taylor-Johnson,"Dakota Johnson, Jamie Dornan, Jennifer Ehle","When college senior Anastasia Steele steps in for her sick roommate to interview prominent businessman Christian Grey for their campus paper, little does she realize the path her life will take. Christian, as enigmatic as he is rich and powerful, finds himself strangely drawn to Ana, and she to him. Though sexually inexperienced, Ana plunges headlong into an affair -- and learns that Christian's true sexual proclivities push the boundaries of pain and pleasure.",R,No original title,"based on novel or book, eroticism, bad smell, perversion, spanking, billionaire, rich, bdsm, woman director, baffled"
Harry Potter and the Chamber of Secrets,11/15/2002 (GB),(2002),English,2h 41m,"Adventure, Fantasy","$100,000,000.00","$876,688,482.00",77,Chris Columbus,"Daniel Radcliffe, Rupert Grint, Emma Watson","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione’s magical abilities and courage.",PG,No original title,"flying car, elves, witch, sword, magic, diary, child hero, school of witchcraft, giant spider, giant snake, black magic, ghost, child driving car, wizard, aftercreditsstinger, christmas, based on young adult novel, teen fantasy"
The Lord of the Rings: The Return of the King,12/26/2003 (LB),(2003),English,3h 21m,"Adventure, Fantasy, Action","$94,000,000.00","$1,118,888,979.00",85,Peter Jackson,"Elijah Wood, Ian McKellen, Viggo Mortensen","As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",PG-13,No original title,"elves, dwarf, based on novel or book, obsession, magic, castle, volcano, giant spider, bravery, kingdom, army, sequel, honor, king, brutality, madness, split personality, fantasy world, wizard, epic battle, journey, ring, quest, live action and animation, hero's journey, high fantasy, wraith, sword and sorcery, power madness, great war, trekking, good versus evil, sword making, war, winged creatures, armies, spirits"
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,10/16/2020 (JP),(2020),Japanese,1h 57m,"Animation, Action, Fantasy, Thriller",Original Language Japanese,"Budget $15,700,000.00",82,Haruo Sotozaki,"Natsuki Hanae, Akari Kito, Hiro Shimono","Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!",PG12,Original Title 劇場版「鬼滅の刃」無限列車編,"fight, magic, psychology, supernatural, sequel, gore, survival, tragedy, coming of age, based on manga, demon, historical, family, mutilation, dark fantasy, shounen, anime, taisho period"
The Perfect Neighbor,10/10/2025 (US),(2025),English,1h 38m,"Documentary, Thriller, Crime",-,-,66,Geeta Gandbhir,"Susan Lorincz, Ajike Owens","Police bodycam footage reveals how a long-running neighborhood dispute turned fatal in this documentary about fear, prejudice and Stand Your Ground laws.",R,No original title,"florida, based on true story, neighborhood watch, neighborhood, woman director, reality tv, based on real events, true story"
Harry Potter and the Goblet of Fire,12/22/2005 (LB),(2005),English,2h 37m,"Adventure, Fantasy","$150,000,000.00","$895,921,036.00",78,Mike Newell,"Daniel Radcliffe, Rupert Grint, Emma Watson","When Harry Potter's name emerges from the Goblet of Fire, he becomes a competitor in a grueling battle for glory among three wizarding schools—the Triwizard Tournament. But since Harry never submitted his name for the Tournament, who did? Now Harry must confront a deadly dragon, fierce water demons and an enchanted maze only to find himself in the cruel grasp of He Who Must Not Be Named.",12A,No original title,"witch, based on novel or book, world cup, maze, magic, dying and death, school of witchcraft, chosen one, black magic, mermaid, boarding school, sequel, vision, school, tournament, dragon, ghost, wizard, teenage hero, christmas, based on young adult novel, teen fantasy"
Bugonia,10/24/2025 (US),(2025),English,1h 58m,"Comedy, Science Fiction, Crime","$45,000,000.00","$1,308,000.00",78,Yorgos Lanthimos,"Emma Stone, Jesse Plemons, Aidan Delbis","Two conspiracy obsessed young men kidnap the high-powered CEO of a major company, convinced that she is an alien intent on destroying planet Earth.",R,No original title,"saving the world, capitalism, symbolism, kidnapping, paranoia, delusion, satire, remake, extraterrestrial, dark comedy, alien invasion, power politics, mental illness, disturbed, hierarchy, global threat, absurdism, political conflict, alien conspiracy, ecologism, social critique, suspenseful, intense, black comedy"
